meter, pressure_hpa, bmp280_temp, CO2, O3
535.30, 946.69, 21.28, 774.00, 340.33
535.39, 946.68, 21.28, 776.00, 272.06
535.04, 946.72, 21.29, 767.00, 255.00
534.69, 946.76, 21.29, 764.00, 214.58
535.57, 946.66, 21.28, 769.00, 272.06
535.48, 946.67, 21.27, 771.00, 255.00
535.04, 946.72, 21.29, 769.00, 226.55
535.21, 946.70, 21.29, 764.00, 239.94
535.21, 946.70, 21.29, 764.00, 272.06
535.04, 946.72, 21.28, 767.00, 291.57
534.86, 946.74, 21.28, 774.00, 239.94
535.30, 946.69, 21.28, 769.00, 291.57
535.04, 946.72, 21.29, 767.00, 255.00
534.78, 946.75, 21.29, 767.00, 408.59
535.30, 946.69, 21.30, 767.00, 371.36
535.21, 946.70, 21.29, 767.00, 255.00
535.04, 946.72, 21.29, 769.00, 291.57
534.95, 946.73, 21.29, 764.00, 291.57
535.04, 946.72, 21.28, 774.00, 272.06
535.48, 946.67, 21.29, 757.00, 272.06
535.04, 946.72, 21.29, 767.00, 226.55
534.86, 946.74, 21.30, 764.00, 255.00
535.13, 946.71, 21.30, 752.00, 408.59
535.04, 946.72, 21.30, 757.00, 291.57
535.13, 946.71, 21.30, 762.00, 255.00
534.86, 946.74, 21.30, 752.00, 408.59
534.78, 946.75, 21.31, 767.00, 272.06
534.60, 946.77, 21.30, 774.00, 272.06
535.21, 946.70, 21.31, 795.00, 291.57
535.30, 946.69, 21.30, 767.00, 255.00
535.48, 946.67, 21.30, 752.00, 255.00
535.21, 946.70, 21.29, 752.00, 291.57
535.48, 946.67, 21.31, 767.00, 239.94
535.04, 946.72, 21.29, 764.00, 255.00
535.57, 946.66, 21.30, 769.00, 255.00
535.21, 946.70, 21.31, 774.00, 272.06
534.86, 946.74, 21.30, 771.00, 291.57
535.30, 946.69, 21.30, 764.00, 291.57
534.95, 946.73, 21.29, 752.00, 255.00
534.86, 946.74, 21.30, 769.00, 226.55
535.21, 946.70, 21.29, 767.00, 239.94
535.13, 946.71, 21.30, 769.00, 408.59
535.13, 946.71, 21.31, 764.00, 255.00
534.78, 946.75, 21.30, 774.00, 255.00
535.65, 946.65, 21.29, 771.00, 291.57
535.04, 946.72, 21.30, 762.00, 408.59
534.78, 946.75, 21.30, 759.00, 272.06
535.65, 946.65, 21.29, 764.00, 291.57
534.86, 946.74, 21.30, 769.00, 239.94
535.13, 946.71, 21.30, 759.00, 291.57
535.39, 946.68, 21.29, 788.00, 255.00
535.65, 946.65, 21.27, 771.00, 255.00
535.30, 946.69, 21.30, 767.00, 239.94
534.60, 946.77, 21.30, 767.00, 291.57
534.78, 946.75, 21.29, 774.00, 291.57
535.04, 946.72, 21.28, 774.00, 272.06
535.39, 946.68, 21.28, 767.00, 314.07
534.78, 946.75, 21.30, 759.00, 291.57
534.33, 946.80, 21.30, 764.00, 314.07
534.60, 946.77, 21.30, 785.00, 272.06
534.86, 946.74, 21.30, 764.00, 255.00
534.86, 946.74, 21.30, 767.00, 255.00
534.86, 946.74, 21.30, 769.00, 255.00
534.42, 946.79, 21.31, 769.00, 272.06
534.86, 946.74, 21.28, 771.00, 239.94
535.39, 946.68, 21.29, 764.00, 291.57
535.13, 946.71, 21.32, 769.00, 272.06
535.13, 946.71, 21.30, 764.00, 291.57
534.95, 946.73, 21.31, 774.00, 291.57
535.04, 946.72, 21.30, 771.00, 255.00
534.95, 946.73, 21.31, 783.00, 255.00
534.95, 946.73, 21.31, 778.00, 291.57
535.04, 946.72, 21.30, 767.00, 255.00
534.86, 946.74, 21.30, 764.00, 291.57
534.95, 946.73, 21.31, 771.00, 340.33
534.95, 946.73, 21.31, 745.00, 371.36
534.69, 946.76, 21.31, 774.00, 239.94
